day,month,year,no1,top2,top3,bottom2,front3_1,front3_2,bottom3_1,bottom3_2
16,11,1992,3685682,82,682,45,223,632,049,295
1,11,1992,6267821,21,821,35,879,263,789,046
16,10,1992,3576993,93,993,79,412,312,037,964
1,10,1992,6379578,78,578,71,752,765,654,300
16,9,1992,6874108,08,108,88,221,127,030,623
1,9,1992,1446615,15,615,68,060,307,125,056
16,8,1992,6234607,07,607,91,978,251,422,151
1,8,1992,6697778,78,778,86,712,935,593,575
16,7,1992,7954430,30,430,87,492,324,756,339
1,7,1992,5119968,68,968,56,999,813,561,702
16,6,1992,5569432,32,432,92,392,880,914,221
1,6,1992,5184191,91,191,29,169,351,245,729
16,5,1992,2827496,96,496,59,333,738,246,890
2,5,1992,5765397,97,397,86,079,444,732,104
16,4,1992,2699374,74,374,10,836,662,139,325
1,4,1992,2244704,04,704,03,624,863,013,242
16,3,1992,1218353,53,353,48,004,578,543,737
1,3,1992,7291524,24,524,60,870,902,024,231
16,2,1992,1868701,01,701,94,641,849,349,599
1,2,1992,5986924,24,924,63,936,952,683,944
16,1,1992,1149428,28,428,18,034,543,672,132
30,12,1991,3208301,01,301,76,318,087,182,917
16,12,1991,7241436,36,436,88,613,667,717,597
1,12,1991,1470741,41,741,05,540,794,006,602
16,11,1991,4373528,28,528,08,979,477,937,643
1,11,1991,7894285,85,285,78,516,537,183,272
16,10,1991,2078202,02,202,38,585,566,338,314
1,10,1991,2730444,44,444,96,978,318,977,928
16,9,1991,4790449,49,449,18,114,298,220,381
1,9,1991,6700430,30,430,49,081,237,661,119
16,8,1991,3746551,51,551,89,845,377,044,182
1,8,1991,6580541,41,541,11,459,509,753,947
16,7,1991,1671946,46,946,62,822,846,951,882
1,7,1991,4441724,24,724,58,771,134,196,766
16,6,1991,5364632,32,632,91,370,785,761,268
1,6,1991,2496376,76,376,77,318,303,485,804
16,5,1991,2532303,03,303,63,931,269,688,802
2,5,1991,4222124,24,124,63,536,296,630,836
16,4,1991,4824037,37,037,57,565,711,970,206
1,4,1991,1606864,64,864,03,819,416,103,008
16,3,1991,5891641,41,641,59,540,715,527,866
1,3,1991,4598076,76,076,72,950,783,676,928
16,2,1991,3223780,80,780,33,992,658,242,596
1,2,1991,5396496,96,496,75,079,455,458,087
16,1,1991,5328736,36,736,29,649,645,225,388
30,12,1990,2190949,49,949,05,516,367,330,962
16,12,1990,4407799,99,799,21,708,359,171,238
1,12,1990,4771944,44,944,88,237,586,692,444
16,11,1990,1226536,36,536,06,426,020,721,050
1,11,1990,4380230,30,230,82,694,516,619,829
16,10,1990,5626303,03,303,56,351,928,923,431
1,10,1990,5738808,08,808,37,043,977,058,748
16,9,1990,5202390,90,390,55,461,211,085,747
1,9,1990,1622380,80,380,83,862,938,161,639
16,8,1990,1671935,35,935,43,325,746,361,644
1,8,1990,1867185,85,185,92,579,070,973,445
16,7,1990,3814178,78,178,11,342,619,112,770
1,7,1990,1076835,35,835,43,043,641,038,295
16,6,1990,3530344,44,344,65,878,144,198,371
1,6,1990,2355474,74,474,72,118,115,227,492
16,5,1990,5071272,72,272,34,565,815,942,465
2,5,1990,5898868,68,868,01,186,644,668,078
16,4,1990,5092890,90,890,84,664,059,912,489
1,4,1990,4734251,51,251,39,301,637,195,717
16,3,1990,3240205,05,205,88,443,275,775,559
1,3,1990,4968902,02,902,15,624,452,087,567
16,2,1990,3732892,92,892,01,889,596,386,601
1,2,1990,1078496,96,496,82,756,481,259,104
16,1,1990,3992239,39,239,97,898,234,288,284
