1 กรกฎาคม 2561 9636232362383429 901210 217
16 มิถุนายน 2561 2231313113146432 507132 868
1 มิถุนายน 2561 9881171711795310 553248 650
16 พฤษภาคม 2561 0756292962920130 357047 506
2 พฤษภาคม 2561 2480383803885527 980225 602
16 เมษายน 2561 7392292922960273 654076 526
1 เมษายน 2561 4120737307385131 787638 924
16 มีนาคม 2561 2185595955982064 720205 489
2 มีนาคม 2561 7594151541529318 870589 723
16 กุมภาพันธ์ 2561 3099151591539007 388230 748
1 กุมภาพันธ์ 2561 0268535385331106 947181 519
17 มกราคม 2561 2038232382350624 799236 397
30 ธันวาคม 2560 9112343423498373 495504 953
16 ธันวาคม 2560 9555969659689616 836290 938
1 ธันวาคม 2560 4510050500533303 626257 601
16 พฤศจิกายน 2560 2923919139198831 961477 628
1 พฤศจิกายน 2560 5337262672685165 425036 485
16 ตุลาคม 2560 4134949449486180 971128 287
1 ตุลาคม 2560 8807141471452611 726462 952
16 กันยายน 2560 1701434314371172 647340 388
1 กันยายน 2560 1432242422465345 679195 278
16 สิงหาคม 2560 7154313143137115 302253 945
1 สิงหาคม 2560 7565191951936061 386787 989
16 กรกฎาคม 2560 8203272732787584 835390 823
1 กรกฎาคม 2560 1123606036026226 489005 688
16 มิถุนายน 2560 9431424214247626 878373 740
1 มิถุนายน 2560 0536303063061121 218581 881
16 พฤษภาคม 2560 4548919189153008 396490 603
2 พฤษภาคม 2560 0086565665635573 949773 923
16 เมษายน 2560 8167292972940766 973241 807
1 เมษายน 2560 3927858578580020 057500 709
16 มีนาคม 2560 2738636386392324 918694 941
1 มีนาคม 2560 9784535345378450 560052 577
16 กุมภาพันธ์ 2560 2291161611614128 464375 953
1 กุมภาพันธ์ 2560 0546727267242066 807426 628
17 มกราคม 2560 1451575715725511 663516 836
30 ธันวาคม 2559 3777121271246304 890477 769
16 ธันวาคม 2559 4352868628635366 596199 716
1 ธันวาคม 2559 0860696906977513 873148 450
16 พฤศจิกายน 2559 8583838338344040 682558 570
1 พฤศจิกายน 2559 7854383843886824 976038 752
16 ตุลาคม 2559 5719474794798692 885032 587
1 ตุลาคม 2559 8871020210233194 280017 458
16 กันยายน 2559 2406505065042493 583043 160
1 กันยายน 2559 6386848468462334 335630 669
16 สิงหาคม 2559 2540040400433366 966596 631
1 สิงหาคม 2559 2729323293257538 983472 871
16 กรกฎาคม 2559 4497646476455552 734158 925
1 กรกฎาคม 2559 0824606046053169 609173 302
16 มิถุนายน 2559 0738161681679251 804321 749
1 มิถุนายน 2559 5118252582514111 775880 937
16 พฤษภาคม 2559 1417373773798382 975087 268
2 พฤษภาคม 2559 3994595945902238 403046 671
16 เมษายน 2559 2216090960987008 228507 523
1 เมษายน 2559 0667202072092390 546285 852
16 มีนาคม 2559 1349181891832855 877004 973
1 มีนาคม 2559 4396868668606426 530155 743
16 กุมภาพันธ์ 2559 3563646436498312 699309 535
1 กุมภาพันธ์ 2559 9278000080009625 999054 076
17 มกราคม 2559 3043717137150031 532743 786
30 ธันวาคม 2558 0082171721702246 264596 895
17 ธันวาคม 2558 9302555525508140 250094 638
1 ธันวาคม 2558 9153505035078238 181714 175
16 พฤศจิกายน 2558 7952838328303241 028643 802
1 พฤศจิกายน 2558 3612111121145106 757166 473
16 ตุลาคม 2558 9686303063062457 134412 054
1 ตุลาคม 2558 5948252582507175 918440 799
16 กันยายน 2558 7431484814806435 209375 084
1 กันยายน 2558 0210949409489260 403068 819
16 สิงหาคม 2558 0333636336340781 227 624 648
1 สิงหาคม 2558 5186777767753333 598 648 889
16 กรกฎาคม 2558 1215070750749761 461 830 294
1 กรกฎาคม 2558 7590494904926565 814 081 567
16 มิถุนายน 2558 6447424274205429 253 386 532
2 มิถุนายน 2558 3888818188165314 700 876 969
16 พฤษภาคม 2558 0114212142138799 484 851 928
2 พฤษภาคม 2558 5434666646630818 163 366 195
16 เมษายน 2558 5062606026038101 164 495 973
1 เมษายน 2558 6057040470470558 962 557 861
16 มีนาคม 2558 0481515115192339 622 623 757
1 มีนาคม 2558 2402373723734498 031 857 008
16 กุมภาพันธ์ 2558 0018646486490843 103 825 392
1 กุมภาพันธ์ 2558 1555373753779083 286 813 008
16 มกราคม 2558 2443515135174068 398 595 877
30 ธันวาคม 2557 4617040470457853 982 535 950
16 ธันวาคม 2557 9483545435490080 763 775 901
1 ธันวาคม 2557 4804494944911820 380 580 161
16 พฤศจิกายน 2557 4798040480425179 422 480 709
1 พฤศจิกายน 2557 2066080860844607 203 855 979
16 ตุลาคม 2557 6564090940994647 784 848 910
1 ตุลาคม 2557 3756151561544251 086 159 520
16 กันยายน 2557 7722696926935112 257 342 790
1 กันยายน 2557 8567636376322308 912 477 490
16 สิงหาคม 2557 6628424284291639 912 187 633
1 สิงหาคม 2557 7663919139182349 576 623 637
16 กรกฎาคม 2557 4687282872845104 944 117 205
1 กรกฎาคม 2557 3784777747739123 271 441 864
16 มิถุนายน 2557 6739202092095158 140 639 576
1 มิถุนายน 2557 7811989819818160 324 409 636
16 พฤษภาคม 2557 0875232352320150 505 112 246
2 พฤษภาคม 2557 1032979729752143 158 673 797
16 เมษายน 2557 1534060640626344 013 355 634
1 เมษายน 2557 0288666686695186 499 835 938
16 มีนาคม 2557 5314040440479250 305 400 904
1 มีนาคม 2557 9063181831835116 537 753 798
16 กุมภาพันธ์ 2557 3842454524501397 530 074 521
1 กุมภาพันธ์ 2557 1801494914995406 492 888 976
16 มกราคม 2557 3069020290252242 077 149 510
30 ธันวาคม 2556 5610727207248513 750 503 275
16 ธันวาคม 2556 3417676776779111 228 742 826
1 ธันวาคม 2556 1687959579527734 766 074 980
16 พฤศจิกายน 2556 8069252592528069 304 672 753
1 พฤศจิกายน 2556 7398040480447502 020 256 173
16 ตุลาคม 2556 9632898928960402 529 876 952
1 ตุลาคม 2556 6478828288214576 324 650 028
16 กันยายน 2556 5626848468463056 235 574 754
1 กันยายน 2556 5481232312305281 570 800 045
16 สิงหาคม 2556 3213272732720417 945 448 201
1 สิงหาคม 2556 3564353543582880 451 718 329
16 กรกฎาคม 2556 5669969699686352 210 584 526
1 กรกฎาคม 2556 6469050590551075 284 903 904
16 มิถุนายน 2556 2896737367369390 098 114 502
1 มิถุนายน 2556 9354898948990480 713 716 768
16 พฤษภาคม 2556 6871252512556034 261 390 945
2 พฤษภาคม 2556 6034585845807272 359 516 830
16 เมษายน 2556 8438464684686834 862 906 828
1 เมษายน 2556 5716888868853170 430 670 725
16 มีนาคม 2556 9684333343352860 959 175 529
1 มีนาคม 2556 9762414124137972 721 133 775
16 กุมภาพันธ์ 2556 3682575725709657 708 109 386
1 กุมภาพันธ์ 2556 5655666656666452 695 641 782
16 มกราคม 2556 8209818198108555 196 374 334
30 ธันวาคม 2555 3023585835800589 864 126 832
16 ธันวาคม 2555 5295242452472734 745 778 008
1 ธันวาคม 2555 1104434344343434 553 489 303
